"Timestamp","Tvoj trenutni status","Povprečna NETO urna postavka za delo, ki si ga opravil/a preko študentske napotnice.","V zadnjih treh mesecih sem povprečno delal/a na teden","Vrsta zaposlitve","Obseg dela","Povprečna mesečna BRUTO plača v zadnjih treh mesecih.","Primarno tržišče delodajalca","Sedež delodajalca je","Koliko let si že zaposlen/a pri trenutnem delodajalcu?","Opravljaš delo na daljavo (remote work)?","Ali trenutno aktivno iščeš novo zaposlitev?","Imaš odprt še s.p.? (""popoldanski s.p."")","Število različnih naročnikov v zadnjih 6 mesecih","Povprečen mesečni BRUTO prihodek v zadnjih 6ih mesecih","Koliko odstotkov LETNEGA prihodka ti predstavlja največji naročnik?","Primarno tržišče največjega naročnika je ","Sedež največjega naročnika je ","Znam naslednje programske jezike","Največ dela opravim kot...","Koliko let že programiraš?","Koliko let poklicno programiraš?","Identificiram se kot","Starost","Prebivam v..."
"2021/09/02 9:49:43 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","1500€ - 1999€","Slovenija","Slovenija","3 - 4 leta","da, a manj kot polni delovni čas","da","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;TypeScript","spletni razvijalec/ka (full-stack)","4 - 5 let","3 - 4 leta","","31-40","osrednjeslovenska regija"
"2021/09/02 9:50:18 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","2000€ - 2499€","tujina, ZDA","Slovenija","manj kot 1 leto","da, za polni delovni čas","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);TypeScript","spletni razvijalec/ka (front-end)","1 - 2 leti","manj kot 1 leto","moški","26-30","osrednjeslovenska regija"
"2021/09/02 9:50:25 AM GMT+2","delo opravljam prek s. p.","","","","","","","","","","","","5 - 9","6500€ - 7499€","55 - 70","tujina, Evropska unija","Slovenija","JavaScript;HTML/CSS (sass/scss/...);SQL;PHP;TypeScript;Bash","spletni razvijalec/ka (back-end)","več kot 10 let","7 - 8 let","moški","26-30","osrednjeslovenska regija"
"2021/09/02 9:50:28 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","1500€ - 1999€","Slovenija","Slovenija","2 - 3 leta","da, za polni delovni čas","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;Java","spletni razvijalec/ka (full-stack)","4 - 5 let","2 - 3 leta","moški","19-25","savinjska regija"
"2021/09/02 9:50:33 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","4000€ - 4499€","Slovenija","Slovenija","manj kot 1 leto","da, za polni delovni čas","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;PHP;Go","vodja razvoja (CTO)","več kot 10 let","več kot 10 let","moški","31-40","osrednjeslovenska regija"
"2021/09/02 9:50:40 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","2000€ - 2499€","tujina, Evropska unija","Slovenija","3 - 4 leta","da, a manj kot polni delovni čas","ne","ne","","","","","","HTML/CSS (sass/scss/...);C#;Swift;Kotlin","razvijalec/ka mobilnih aplikacij (iOS)","4 - 5 let","3 - 4 leta","moški","26-30","savinjska regija"
"2021/09/02 9:50:52 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","2500€ - 2999€","Slovenija","Slovenija","2 - 3 leta","da, a manj kot polni delovni čas","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;C#;PHP;TypeScript","spletni razvijalec/ka (full-stack)","8 - 9 let","5 - 6 let","moški","26-30","osrednjeslovenska regija"
"2021/09/02 9:50:59 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","3000€ - 3499€","Slovenija","Slovenija","več kot 10 let","ne, delodajalec ne omogoča dela na daljavo","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);C#;Swift","spletni razvijalec/ka (full-stack)","več kot 10 let","več kot 10 let","moški","41-50","osrednjeslovenska regija"
"2021/09/02 9:51:00 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","2000€ - 2499€","Slovenija","tujina, Evropska unija","več kot 10 let","ne, čeprav delodajalec omogoča delo na daljavo","da","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;C#;C++;drugo","spletni razvijalec/ka (back-end)","več kot 10 let","več kot 10 let","moški","41-50","podravska regija"
"2021/09/02 9:51:27 AM GMT+2","redno zaposlen/a","","","pogodba za določen čas","40 ur na teden (polni delovni čas)","2000€ - 2499€","Slovenija","Slovenija","1 - 2 leti","ne, čeprav delodajalec omogoča delo na daljavo","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;PHP","spletni razvijalec/ka (full-stack)","2 - 3 leta","2 - 3 leta","moški","19-25","osrednjeslovenska regija"
"2021/09/02 9:51:27 AM GMT+2","delo opravljam prek s. p.","","","","","","","","","","","","2 - 4","3500€ - 4000€","85 - 99%","tujina, Evropska unija","tujina, Evropska unija","JavaScript;HTML/CSS (sass/scss/...)","razvijalec/ka embedded sistemov/aplikacij","več kot 10 let","več kot 10 let","moški","41-50","osrednjeslovenska regija"
"2021/09/02 9:51:30 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","2000€ - 2499€","Slovenija","Slovenija","1 - 2 leti","ne, čeprav delodajalec omogoča delo na daljavo","da","ne","","","","","","SQL;C#;Python","razvijalec/ka namiznih aplikacij","več kot 10 let","več kot 10 let","moški","31-40","osrednjeslovenska regija"
"2021/09/02 9:51:33 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","3500€ - 3999€","tujina, Evropska unija","tujina, Evropska unija","9 - 10 let","da, a manj kot polni delovni čas","da","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;C#;TypeScript;drugo","spletni razvijalec/ka (back-end)","več kot 10 let","več kot 10 let","moški","41-50","pomurska regija"
"2021/09/02 9:51:53 AM GMT+2","delo opravljam prek s. p.","","","","","","","","","","","","2 - 4","8500€ - 9499€","85 - 99%","tujina, ZDA","tujina, ZDA","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;C#;Python;C++;TypeScript","razvijalec/ka mobilnih aplikacij (iOS)","9 - 10 let","7 - 8 let","moški","26-30","osrednjeslovenska regija"
"2021/09/02 9:52:06 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","2000€ - 2499€","Slovenija","Slovenija","1 - 2 leti","ne, čeprav delodajalec omogoča delo na daljavo","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;PHP;Go;Bash","spletni razvijalec/ka (back-end)","3 - 4 leta","1 - 2 leti","moški","19-25","savinjska regija"
"2021/09/02 9:52:27 AM GMT+2","delo opravljam prek s. p.","","","","","","","","","","","","1","7500€ - 8499€","70 - 84","tujina, drugo","tujina, Evropska unija","C++;C;Swift;drugo","vodja razvoja (CTO)","več kot 10 let","več kot 10 let","ne želim odgovoriti","41-50","goriška regija"
"2021/09/02 9:52:30 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","3500€ - 3999€","tujina, drugo","tujina, Evropska unija","manj kot 1 leto","da, a manj kot polni delovni čas","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;PHP;drugo","drugo","več kot 10 let","več kot 10 let","moški","31-40","gorenjska regija"
"2021/09/02 9:52:34 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","1500€ - 1999€","Slovenija","Slovenija","3 - 4 leta","da, a manj kot polni delovni čas","da","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;C#;Python;PHP;TypeScript;Bash;drugo","razvijalec/ka namiznih aplikacij","7 - 8 let","3 - 4 leta","moški","26-30","osrednjeslovenska regija"
"2021/09/02 9:53:06 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","2500€ - 2999€","tujina, drugo","tujina, drugo","3 - 4 leta","da, a manj kot polni delovni čas","ne","ne","","","","","","HTML/CSS (sass/scss/...);SQL;Java;C#","spletni razvijalec/ka (back-end)","9 - 10 let","6 - 7 let","moški","31-40","pomurska regija"
"2021/09/02 9:53:11 AM GMT+2","redno zaposlen/a","","","pogodba za določen čas","40 ur na teden (polni delovni čas)","1500€ - 1999€","Slovenija","Slovenija","2 - 3 leta","ne, čeprav delodajalec omogoča delo na daljavo","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;C;TypeScript;Kotlin","spletni razvijalec/ka (full-stack)","4 - 5 let","2 - 3 leta","moški","19-25","osrednjeslovenska regija"
"2021/09/02 9:53:19 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","2500€ - 2999€","tujina, Evropska unija","Slovenija","1 - 2 leti","ne, delodajalec ne omogoča dela na daljavo","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;PHP","spletni razvijalec/ka (full-stack)","2 - 3 leta","1 - 2 leti","moški","26-30","zasavska regija"
"2021/09/02 9:53:20 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","6500€ - 7499€","tujina, drugo","Slovenija","več kot 10 let","da, a manj kot polni delovni čas","ne","ne","","","","","","HTML/CSS (sass/scss/...);SQL;Java;C#;Python;C++;C;Objective-C;Perl","produktni/projektni vodja (PM)","več kot 10 let","več kot 10 let","moški","31-40","gorenjska regija"
"2021/09/02 9:53:22 AM GMT+2","delo opravljam prek s. p.","","","","","","","","","","","","2 - 4","3000€ - 3499€","40 - 55","tujina, ZDA","tujina, ZDA","SQL;Python;C++;Bash","razvijalec/ka mobilnih aplikacij (Android)","več kot 10 let","9 - 10 let","moški","31-40","gorenjska regija"
"2021/09/02 9:53:27 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","5500€ - 6499€","tujina, Evropska unija","Slovenija","več kot 10 let","da, za polni delovni čas","ne","ne","","","","","","JavaScript;SQL;C#;C","produktni/projektni vodja (PM)","več kot 10 let","več kot 10 let","moški","41-50","gorenjska regija"
"2021/09/02 9:53:29 AM GMT+2","dijak/študent (delo opravljam prek študentske napotnice)","10,00€ - 10,99€","40 ur (polni delovnik)","","","","","","","","","","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;Python;PHP;Kotlin","razvijalec/ka mobilnih aplikacij (Android)","8 - 9 let","3 - 4 leta","moški","19-25","zasavska regija"
"2021/09/02 9:53:38 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","2000€ - 2499€","tujina, ZDA","Slovenija","3 - 4 leta","da, za polni delovni čas","da","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;Python;TypeScript;Bash","spletni razvijalec/ka (full-stack)","5 - 6 let","4 - 5 let","moški","26-30","gorenjska regija"
"2021/09/02 9:54:02 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","2000€ - 2499€","Slovenija","Slovenija","5 - 6 let","da, za polni delovni čas","ne","da","več kot 15 različnih naročnikov","","100%","tujina, Evropska unija","tujina, Evropska unija","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;C#","spletni razvijalec/ka (front-end)","6 - 7 let","6 - 7 let","moški","31-40","jugovzhodna regija"
"2021/09/02 9:54:05 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","4000€ - 4499€","Slovenija","Slovenija","3 - 4 leta","da, a manj kot polni delovni čas","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;Python;PHP;Bash","spletni razvijalec/ka (full-stack)","8 - 9 let","6 - 7 let","moški","31-40","zasavska regija"
"2021/09/02 9:54:32 AM GMT+2","delo opravljam prek s. p.","","","","","","","","","","","","1","2500€ - 3000€","100%","tujina, ZDA","Slovenija","drugo","drugo","2 - 3 leta","2 - 3 leta","moški","26-30","zasavska regija"
"2021/09/02 9:55:17 AM GMT+2","dijak/študent (delo opravljam prek študentske napotnice)","7,0€ - 7,99€","20 ur (polovični delovnik)","","","","","","","","","","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;Python;TypeScript","spletni razvijalec/ka (full-stack)","2 - 3 leta","manj kot 1 leto","moški","19-25","osrednjeslovenska regija"
"2021/09/02 9:55:22 AM GMT+2","dijak/študent (delo opravljam prek študentske napotnice)","10,00€ - 10,99€","med 20 - 40 ur","","","","","","","","","","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;PHP;C++;Swift","spletni razvijalec/ka (full-stack)","3 - 4 leta","1 - 2 leti","moški","19-25","podravska regija"
"2021/09/02 9:55:27 AM GMT+2","delo opravljam prek s. p.","","","","","","","","","","","","2 - 4","4000€ - 4499€","85 - 99%","tujina, ZDA","tujina, ZDA","JavaScript;HTML/CSS (sass/scss/...);SQL;PHP;TypeScript","drugo","7 - 8 let","3 - 4 leta","moški","19-25","podravska regija"
"2021/09/02 9:55:32 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","1500€ - 1999€","Slovenija","Slovenija","6 - 7 let","ne, čeprav delodajalec omogoča delo na daljavo","da","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;C#;Python","vodja razvoja (CTO)","več kot 10 let","6 - 7 let","moški","31-40","savinjska regija"
"2021/09/02 9:55:58 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","3500€ - 3999€","tujina, Evropska unija","Slovenija","4 - 5 let","da, za polni delovni čas","ne","ne","","","","","","Python","spletni razvijalec/ka (back-end)","8 - 9 let","5 - 6 let","moški","26-30","osrednjeslovenska regija"
"2021/09/02 9:56:24 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","3500€ - 3999€","Slovenija","Slovenija","7 - 8 let","da, a manj kot polni delovni čas","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;C#;PHP","vodja razvoja (CTO)","več kot 10 let","7 - 8 let","moški","31-40","osrednjeslovenska regija"
"2021/09/02 9:57:05 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","2500€ - 2999€","tujina, drugo","tujina, Evropska unija","3 - 4 leta","da, a manj kot polni delovni čas","ne","ne","","","","","","Java;C#;Python;C++;C","razvijalec/ka embedded sistemov/aplikacij","3 - 4 leta","3 - 4 leta","moški","31-40","podravska regija"
"2021/09/02 9:57:06 AM GMT+2","dijak/študent (delo opravljam prek študentske napotnice)","7,0€ - 7,99€","40 ur (polni delovnik)","","","","","","","","","","","","","","","JavaScript;SQL;Python;TypeScript","spletni razvijalec/ka (back-end)","1 - 2 leti","manj kot 1 leto","moški","19-25","zasavska regija"
"2021/09/02 9:57:49 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","5500€ - 6499€","tujina, Evropska unija","tujina, Evropska unija","4 - 5 let","ne, delodajalec ne omogoča dela na daljavo","ne","ne","","","","","","SQL;Python;C;Scala;Bash","specialist/ka strojnega učenja","več kot 10 let","4 - 5 let","moški","26-30","tujina"
"2021/09/02 9:57:52 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","4500€ - 5499€","tujina, drugo","Slovenija","8 - 9 let","da, a manj kot polni delovni čas","ne","da","2 - 4","500€ - 999€","40 - 55","Slovenija","Slovenija","Java","vodja razvoja (CTO)","8 - 9 let","6 - 7 let","moški","31-40","gorenjska regija"
"2021/09/02 9:57:59 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","3000€ - 3499€","tujina, Evropska unija","Slovenija","2 - 3 leta","da, za polni delovni čas","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);C#;Python;TypeScript;Swift","razvijalec/ka mobilnih aplikacij (iOS)","3 - 4 leta","2 - 3 leta","ženska","31-40","osrednjeslovenska regija"
"2021/09/02 9:58:08 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","1500€ - 1999€","tujina, Evropska unija","Slovenija","manj kot 1 leto","da, a manj kot polni delovni čas","da","ne","","","","","","Java;Python;C++;C;Bash;drugo","sistemski integrator/ka","8 - 9 let","5 - 6 let","moški","26-30","gorenjska regija"
"2021/09/02 9:58:13 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","2000€ - 2499€","tujina, Evropska unija","Slovenija","2 - 3 leta","da, a manj kot polni delovni čas","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;Java;Python;Bash","DevOps","9 - 10 let","4 - 5 let","moški","26-30","osrednjeslovenska regija"
"2021/09/02 9:58:40 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","drugo","3000€ - 3499€","Slovenija","Slovenija","9 - 10 let","ne, čeprav delodajalec omogoča delo na daljavo","ne","ne","","","","","","JavaScript;HTML/CSS (sass/scss/...);SQL;PHP;TypeScript;Go","spletni razvijalec/ka (full-stack)","več kot 10 let","več kot 10 let","moški","31-40","osrednjeslovenska regija"
"2021/09/02 9:58:41 AM GMT+2","delo opravljam prek s. p.","","","","","","","","","","","","1","3500€ - 4000€","100%","tujina, ZDA","tujina, ZDA","","drugo","","","moški","31-40","osrednjeslovenska regija"
"2021/09/02 9:58:54 AM GMT+2","redno zaposlen/a","","","pogodba za nedoločen čas","40 ur na teden (polni delovni čas)","3000€ - 3499€","tujina, Evropska unija","Slovenija","3 - 4 leta","da, za polni delovni čas","ne","ne","","","","","","JavaScript;SQL;Python;C++","drugo","več kot 10 let","več kot 10 let","ženska","31-40","goriška regija"
"2021/09/02 9:58:56 AM GMT+2","delo opravljam prek s. p.","","","","","","","","","","","","2 - 4","več kot 10500€","85 - 99%","tujina, Evropska unija","tujina, Evropska unija","JavaScript;HTML/CSS (sass/scss/...);TypeScript","spletni razvijalec/ka (full-stack)","več kot 10 let","več kot 10 let","moški","31-40","jugovzhodna regija"
