Timestamp,Tvoj trenutni status,"Povprečna NETO urna postavka za delo, ki si ga opravil/a preko študentske napotnice.",V zadnjih treh mesecih sem povprečno delal/a na teden,Vrsta zaposlitve,Obseg dela,Povprečna mesečna BRUTO plača v zadnjih treh mesecih.,Tvoja celoletna BRUTO kompenzacija,Primarno tržišče delodajalca,Sedež delodajalca je,Koliko let si že zaposlen/a pri trenutnem delodajalcu?,Opravljaš delo na daljavo (remote work)?,Ali trenutno aktivno iščeš novo zaposlitev?,"Imaš odprt še s.p.? (""popoldanski s.p."")",Število različnih naročnikov v zadnjih 6 mesecih,Povprečen mesečni BRUTO prihodek v zadnjih 6ih mesecih,Koliko odstotkov LETNEGA prihodka ti predstavlja največji naročnik?,Primarno tržišče največjega naročnika je ,Sedež največjega naročnika je ,Znam naslednje programske jezike,Največ dela opravim kot...,Koliko let že programiraš?,Koliko let poklicno programiraš?,Identificiram se kot,Starost,Prebivam v...
10/16/2023 13:52:34,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,4500€ - 4999€,55 - 70,"tujina, ZDA","tujina, ZDA","JavaScript, HTML/CSS (sass/scss/...), SQL, Python, Go, Bash",DevOps,več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
10/16/2023 13:52:49,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,35000€ - 39999€,Slovenija,Slovenija,manj kot 1 leto,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, TypeScript",spletni razvijalec/ka (back-end),2 - 3 leta,2 - 3 leta,moški,19-25,podravska regija
10/16/2023 13:53:34,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,55000€ - 59999€,"tujina, ZDA",Slovenija,1 - 2 leti,"da, a manj kot polni delovni čas",ne,da,2 - 4,500€ - 999€,70 - 84,"tujina, Evropska unija",Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, TypeScript",spletni razvijalec/ka (front-end),4 - 5 let,3 - 4 leta,moški,26-30,savinjska regija
10/16/2023 13:54:07,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,45000€ - 49999€,"tujina, drugo",Slovenija,2 - 3 leta,"da, za polni delovni čas",ne,ne,,,,,,"SQL, Java, Python, Go",spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
10/16/2023 13:55:35,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,20000€ - 24999€,Slovenija,Slovenija,4 - 5 let,"ne, delodajalec ne omogoča dela na daljavo",da,ne,,,,,,"SQL, C#",spletni razvijalec/ka (back-end),4 - 5 let,4 - 5 let,moški,26-30,podravska regija
10/16/2023 13:55:51,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,"tujina, Evropska unija",Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Python",svetovalec/ka za specifično tehnologijo,5 - 6 let,2 - 3 leta,moški,19-25,osrednjeslovenska regija
10/16/2023 13:56:00,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,5000€ - 5499€,55 - 70,"tujina, ZDA","tujina, ZDA","JavaScript, SQL, Python, Go, Rust, Zig",spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,41-50,goriška regija
10/16/2023 13:57:49,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,50000€ - 54999€,"tujina, Evropska unija","tujina, Evropska unija",1 - 2 leti,"da, za polni delovni čas",ne,da,2 - 4,3000€ - 3499€,40 - 55,"tujina, drugo","tujina, drugo","SQL, C#",spletni razvijalec/ka (back-end),več kot 10 let,4 - 5 let,moški,26-30,osrednjeslovenska regija
10/16/2023 13:58:27,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,8000€ - 8499€,85 - 99%,"tujina, Evropska unija","tujina, Evropska unija",SQL,svetovalec/ka za specifično tehnologijo,več kot 10 let,9 - 10 let,moški,31-40,primorsko-notranjska regija
10/16/2023 13:58:33,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,pod 15000€,"tujina, drugo",Slovenija,6 - 7 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), Java, Python, TypeScript",spletni razvijalec/ka (front-end),več kot 10 let,6 - 7 let,moški,26-30,osrednjeslovenska regija
10/16/2023 13:59:37,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,30000€ - 34999€,Slovenija,Slovenija,več kot 10 let,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, PHP, Bash",spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,31-40,koroška regija
10/16/2023 14:00:29,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,35000€ - 39999€,"tujina, drugo","tujina, drugo",2 - 3 leta,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"SQL, Python",specialist/ka strojnega učenja,4 - 5 let,2 - 3 leta,moški,26-30,osrednjeslovenska regija
10/16/2023 14:01:11,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),"1203,36€ (minimalna BRUTO plača)",pod 15000€,Slovenija,Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...)",spletni razvijalec/ka (front-end),2 - 3 leta,2 - 3 leta,ženska,26-30,obalno-kraška regija
10/16/2023 14:01:58,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,3000€ - 3499€,85 - 99%,Slovenija,Slovenija,"HTML/CSS (sass/scss/...), SQL, Python, TypeScript",UI/UX razvijalec/ka,3 - 4 leta,1 - 2 leti,ženska,19-25,osrednjeslovenska regija
10/16/2023 14:02:55,delo opravljam prek s. p.,,,,,,,,,,,,,1,3500€ - 3999€,100%,"tujina, ZDA",Slovenija,"Python, C++, Bash, Rust",vodja ekipe (team lead),več kot 10 let,9 - 10 let,moški,31-40,gorenjska regija
10/16/2023 14:06:03,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,40000€ - 44999€,Slovenija,Slovenija,2 - 3 leta,"da, za polni delovni čas",ne,da,5 - 9,4000€ - 4499€,55 - 70,"tujina, Evropska unija","tujina, Evropska unija","JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Python, PHP, C++, C, TypeScript, Bash",vodja razvoja (CTO),5 - 6 let,4 - 5 let,moški,26-30,gorenjska regija
10/16/2023 14:06:48,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,65000€ - 69999€,Slovenija,Slovenija,manj kot 1 leto,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,,produktni/projektni vodja (PM),,,moški,41-50,gorenjska regija
10/16/2023 14:08:30,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,,"tujina, drugo",Slovenija,2 - 3 leta,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"Java, C#, C++",razvijalec/ka embedded sistemov/aplikacij,7 - 8 let,9 - 10 let,moški,31-40,podravska regija
10/16/2023 14:08:30,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,25000€ - 29999€,"tujina, ZDA",Slovenija,manj kot 1 leto,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, PHP",DevOps,1 - 2 leti,manj kot 1 leto,moški,19-25,savinjska regija
10/16/2023 14:08:44,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,pod 15000€,"tujina, drugo",Slovenija,več kot 10 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, PHP, C++, C, TypeScript, Ruby, Objective-C, Go, Scala, Kotlin, Bash, Perl",spletni razvijalec/ka (full-stack),več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
10/16/2023 14:09:00,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),več kot 10000€,več kot 100000€,"tujina, ZDA","tujina, ZDA",9 - 10 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP, TypeScript, Ruby",vodja razvoja (CTO),več kot 10 let,9 - 10 let,moški,26-30,osrednjeslovenska regija
10/16/2023 14:09:38,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,6500€ - 6999€,70 - 84,Slovenija,"tujina, Evropska unija","JavaScript, HTML/CSS (sass/scss/...), TypeScript",spletni razvijalec/ka (front-end),več kot 10 let,več kot 10 let,moški,26-30,podravska regija
10/16/2023 14:09:48,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,25000€ - 29999€,Slovenija,Slovenija,1 - 2 leti,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, SQL, Python, Bash",DevOps,2 - 3 leta,1 - 2 leti,moški,26-30,gorenjska regija
10/16/2023 14:10:28,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),1500€ - 1999€,15001€ - 19999€,Slovenija,Slovenija,2 - 3 leta,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL",sistemski administrator/ka,4 - 5 let,3 - 4 leta,moški,26-30,gorenjska regija
10/16/2023 14:10:34,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,,Slovenija,Slovenija,manj kot 1 leto,"ne, čeprav delodajalec omogoča delo na daljavo",da,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), Python, C++, C, Bash",specialist/ka strojnega učenja,7 - 8 let,2 - 3 leta,moški,19-25,osrednjeslovenska regija
10/16/2023 14:10:44,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),,45000€ - 49999€,"tujina, Evropska unija",Slovenija,1 - 2 leti,"da, a manj kot polni delovni čas",ne,da,2 - 4,500€ - 999€,55 - 70,"tujina, Evropska unija",Slovenija,"JavaScript, HTML/CSS (sass/scss/...), PHP, TypeScript",produktni/projektni vodja (PM),7 - 8 let,,moški,41-50,osrednjeslovenska regija
10/16/2023 14:11:52,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,,Slovenija,"tujina, Evropska unija",manj kot 1 leto,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#",spletni razvijalec/ka (back-end),več kot 10 let,7 - 8 let,moški,26-30,osrednjeslovenska regija
10/16/2023 14:12:37,redno zaposlen/a,,,pogodba za nedoločen čas,drugo,3500€ - 3999€,50000€ - 54999€,"tujina, Evropska unija","tujina, Evropska unija",2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, PHP",spletni razvijalec/ka (full-stack),4 - 5 let,3 - 4 leta,moški,26-30,tujina
10/16/2023 14:13:05,redno zaposlen/a,,,pogodba za nedoločen čas,drugo,3500€ - 3999€,40000€ - 44999€,"tujina, Evropska unija",Slovenija,3 - 4 leta,"da, za polni delovni čas",ne,ne,,,,,,"SQL, PHP, Go",spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,41-50,gorenjska regija
10/16/2023 14:13:31,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,,"tujina, ZDA","tujina, Evropska unija",1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,"Python, Kotlin",razvijalec/ka mobilnih aplikacij (Android),5 - 6 let,1 - 2 leti,moški,26-30,osrednjeslovenska regija
10/16/2023 14:16:03,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,9500€ - 9999€,85 - 99%,"tujina, ZDA","tujina, ZDA","Python, PHP, Bash",DevOps,več kot 10 let,več kot 10 let,moški,41-50,osrednjeslovenska regija
10/16/2023 14:17:07,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,Slovenija,Slovenija,več kot 10 let,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, SQL, Java, Kotlin",razvijalec/ka mobilnih aplikacij (Android),več kot 10 let,več kot 10 let,moški,31-40,pomurska regija
10/16/2023 14:17:37,dijak/študent (delo opravljam prek študentske napotnice),"9,00€ - 9,99€",med 20 - 40 ur,,,,,,,,,,,,,,,,"JavaScript, SQL, Python, TypeScript, Bash",DevOps,4 - 5 let,1 - 2 leti,moški,19-25,osrednjeslovenska regija
10/16/2023 14:19:42,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,45000€ - 49999€,Slovenija,Slovenija,8 - 9 let,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java",spletni razvijalec/ka (full-stack),8 - 9 let,8 - 9 let,moški,31-40,osrednjeslovenska regija
10/16/2023 14:20:34,dijak/študent (delo opravljam prek študentske napotnice),"10,00€ - 10,99€",20 ur (polovični delovnik),,,,,,,,,,,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, PHP, TypeScript",spletni razvijalec/ka (front-end),7 - 8 let,manj kot 1 leto,moški,19-25,osrednjeslovenska regija
10/16/2023 14:21:39,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,40000€ - 44999€,"tujina, Evropska unija",Slovenija,manj kot 1 leto,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Java, C#, Kotlin",spletni razvijalec/ka (back-end),4 - 5 let,4 - 5 let,moški,31-40,osrednjeslovenska regija
10/16/2023 14:22:35,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,40000€ - 44999€,Slovenija,Slovenija,3 - 4 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, TypeScript",spletni razvijalec/ka (front-end),5 - 6 let,3 - 4 leta,moški,26-30,osrednjeslovenska regija
10/16/2023 14:25:10,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,40000€ - 44999€,Slovenija,Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"C#, C++",razvijalec/ka namiznih aplikacij,več kot 10 let,9 - 10 let,moški,31-40,osrednjeslovenska regija
10/16/2023 14:26:32,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,20000€ - 24999€,"tujina, Evropska unija",Slovenija,1 - 2 leti,"da, a manj kot polni delovni čas",da,ne,,,,,,,produktni/projektni vodja (PM),,,moški,31-40,osrednjeslovenska regija
10/16/2023 14:26:38,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,pod 15000€,"tujina, drugo",Slovenija,1 - 2 leti,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"Python, ChatGPT",produktni/projektni vodja (PM),2 - 3 leta,2 - 3 leta,moški,31-40,gorenjska regija
10/16/2023 14:26:38,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,45000€ - 49999€,Slovenija,Slovenija,3 - 4 leta,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, TypeScript, XAML",razvijalec/ka namiznih aplikacij,6 - 7 let,3 - 4 leta,moški,26-30,posavska regija
10/16/2023 14:30:07,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,55000€ - 59999€,"tujina, drugo","tujina, drugo",1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Python",spletni razvijalec/ka (back-end),7 - 8 let,4 - 5 let,moški,26-30,podravska regija
10/16/2023 14:30:08,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,40000€ - 44999€,Slovenija,Slovenija,več kot 10 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, TypeScript",spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,31-40,koroška regija
10/16/2023 14:30:39,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,50000€ - 54999€,"tujina, ZDA","tujina, ZDA",1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, PHP, TypeScript",spletni razvijalec/ka (full-stack),7 - 8 let,3 - 4 leta,moški,26-30,osrednjeslovenska regija
10/16/2023 14:31:08,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,5000€ - 5499€,40 - 55,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, C++, C, TypeScript, Bash, Rust",spletni razvijalec/ka (back-end),več kot 10 let,6 - 7 let,moški,31-40,osrednjeslovenska regija
10/16/2023 14:34:57,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,Slovenija,Slovenija,manj kot 1 leto,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, TypeScript",spletni razvijalec/ka (front-end),3 - 4 leta,2 - 3 leta,moški,19-25,osrednjeslovenska regija
10/16/2023 14:35:03,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,55000€ - 59999€,"tujina, Evropska unija",Slovenija,1 - 2 leti,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Python, C++, C, Bash",drugo,več kot 10 let,9 - 10 let,moški,31-40,jugovzhodna regija
10/16/2023 14:37:57,redno zaposlen/a,,,pogodba za določen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,50000€ - 54999€,"tujina, Evropska unija",Slovenija,manj kot 1 leto,"da, a manj kot polni delovni čas",da,ne,,,,,,"Python, C++",specialist/ka strojnega učenja,več kot 10 let,3 - 4 leta,moški,26-30,osrednjeslovenska regija
10/16/2023 14:38:38,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,60000€ - 64999€,"tujina, ZDA",Slovenija,3 - 4 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, Python, C, TypeScript",specialist/ka strojnega učenja,5 - 6 let,4 - 5 let,moški,19-25,osrednjeslovenska regija
10/16/2023 14:39:52,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,40000€ - 44999€,Slovenija,Slovenija,6 - 7 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Python",spletni razvijalec/ka (full-stack),8 - 9 let,6 - 7 let,moški,31-40,goriška regija
10/16/2023 14:44:11,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,45000€ - 49999€,Slovenija,Slovenija,manj kot 1 leto,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, C++, C, TypeScript, Go, Bash",spletni razvijalec/ka (full-stack),več kot 10 let,3 - 4 leta,moški,26-30,osrednjeslovenska regija
10/16/2023 14:46:56,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,25000€ - 29999€,"tujina, Evropska unija","tujina, Evropska unija",1 - 2 leti,"ne, delodajalec ne omogoča dela na daljavo",da,ne,,,,,,"HTML/CSS (sass/scss/...), SQL, Java, C#, Python",spletni razvijalec/ka (back-end),4 - 5 let,5 - 6 let,moški,19-25,podravska regija
10/16/2023 14:47:43,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,50000€ - 54999€,Slovenija,Slovenija,1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), C#, Dart",razvijalec/ka mobilnih aplikacij (Android),5 - 6 let,5 - 6 let,moški,31-40,podravska regija
10/16/2023 14:49:20,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,55000€ - 59999€,Slovenija,Slovenija,1 - 2 leti,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, PHP, TypeScript",spletni razvijalec/ka (front-end),več kot 10 let,9 - 10 let,moški,31-40,podravska regija
10/16/2023 14:49:38,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,25000€ - 29999€,"tujina, Evropska unija",Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"Python, C++, C",razvijalec/ka s statističnim/matematičnim ozadjem,2 - 3 leta,2 - 3 leta,moški,26-30,gorenjska regija
10/16/2023 14:50:14,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,60000€ - 64999€,"tujina, Evropska unija",Slovenija,2 - 3 leta,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), TypeScript",spletni razvijalec/ka (front-end),več kot 10 let,5 - 6 let,moški,31-40,savinjska regija
10/16/2023 14:51:22,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,40000€ - 44999€,Slovenija,Slovenija,7 - 8 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#",spletni razvijalec/ka (full-stack),več kot 10 let,7 - 8 let,moški,26-30,podravska regija
10/16/2023 14:54:27,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,50000€ - 54999€,Slovenija,Slovenija,9 - 10 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL",produktni/projektni vodja (PM),9 - 10 let,9 - 10 let,ženska,31-40,gorenjska regija
10/16/2023 14:55:06,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,7000€ - 7499€,70 - 84,"tujina, ZDA","tujina, ZDA","JavaScript, C#, TypeScript",spletni razvijalec/ka (full-stack),več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
10/16/2023 14:55:17,dijak/študent (delo opravljam prek študentske napotnice),"7,0€ - 7,99€",40 ur (polni delovnik),,,,,,,,,,,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, PHP, C++, C, TypeScript, Bash",razvijalec/ka mobilnih aplikacij (Android),4 - 5 let,1 - 2 leti,moški,19-25,savinjska regija
10/16/2023 14:56:28,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),1500€ - 1999€,15001€ - 19999€,Slovenija,Slovenija,1 - 2 leti,"ne, delodajalec ne omogoča dela na daljavo",da,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), Vue 3",spletni razvijalec/ka (front-end),2 - 3 leta,1 - 2 leti,moški,26-30,osrednjeslovenska regija
10/16/2023 14:57:24,delo opravljam prek s. p.,,,,,,,,,,,,,1,5500€ - 5999€,85 - 99%,"tujina, drugo","tujina, drugo","JavaScript, HTML/CSS (sass/scss/...), SQL, TypeScript, Ruby",spletni razvijalec/ka (full-stack),več kot 10 let,6 - 7 let,moški,26-30,savinjska regija
10/16/2023 14:59:38,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,50000€ - 54999€,"tujina, Evropska unija",Slovenija,1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, Python, TypeScript",spletni razvijalec/ka (front-end),8 - 9 let,6 - 7 let,ženska,31-40,osrednjeslovenska regija
10/16/2023 15:00:38,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,2500€ - 2999€,85 - 99%,"tujina, ZDA","tujina, ZDA","JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, PHP, C++, TypeScript",spletni razvijalec/ka (back-end),9 - 10 let,4 - 5 let,moški,26-30,podravska regija
10/16/2023 15:01:23,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,20000€ - 24999€,"tujina, Evropska unija","tujina, Evropska unija",1 - 2 leti,"da, za polni delovni čas",da,ne,,,,,,"JavaScript, C#",spletni razvijalec/ka (full-stack),3 - 4 leta,3 - 4 leta,moški,19-25,osrednjeslovenska regija
10/16/2023 15:01:31,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,pod 15000€,"tujina, ZDA",Slovenija,2 - 3 leta,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, PHP, Scala",spletni razvijalec/ka (full-stack),7 - 8 let,4 - 5 let,moški,19-25,osrednjeslovenska regija
10/16/2023 15:01:43,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,pod 15000€,Slovenija,Slovenija,5 - 6 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...)",spletni razvijalec/ka (front-end),5 - 6 let,5 - 6 let,ženska,26-30,osrednjeslovenska regija
10/16/2023 15:04:19,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,25000€ - 29999€,Slovenija,Slovenija,več kot 10 let,"da, za polni delovni čas",ne,ne,,,,,,"Java, Bash",sistemski administrator/ka,več kot 10 let,več kot 10 let,moški,31-40,jugovzhodna regija
10/16/2023 15:04:35,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,45000€ - 49999€,"tujina, Evropska unija",Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,C#,spletni razvijalec/ka (back-end),9 - 10 let,5 - 6 let,moški,26-30,podravska regija
10/16/2023 15:04:49,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,25000€ - 29999€,"tujina, Evropska unija",Slovenija,manj kot 1 leto,"da, a manj kot polni delovni čas",ne,ne,,,,,,"Java, Kotlin",razvijalec/ka mobilnih aplikacij (Android),4 - 5 let,3 - 4 leta,moški,26-30,jugovzhodna regija
