Timestamp,Tvoj trenutni status,"Povprečna NETO urna postavka za delo, ki si ga opravil/a preko študentske napotnice.",V zadnjih treh mesecih sem povprečno delal/a na teden,Vrsta zaposlitve,Obseg dela,Povprečna mesečna BRUTO plača v zadnjih treh mesecih.,Tvoja celoletna BRUTO kompenzacija,Primarno tržišče delodajalca,Sedež delodajalca je,Koliko let si že zaposlen/a pri trenutnem delodajalcu?,Opravljaš delo na daljavo (remote work)?,Ali trenutno aktivno iščeš novo zaposlitev?,"Imaš odprt še s.p.? (""popoldanski s.p."")",Število različnih naročnikov v zadnjih 6 mesecih,Povprečen mesečni BRUTO prihodek v zadnjih 6ih mesecih,Koliko odstotkov LETNEGA prihodka ti predstavlja največji naročnik?,Primarno tržišče največjega naročnika je ,Sedež največjega naročnika je ,Znam naslednje programske jezike,Največ dela opravim kot...,Koliko let že programiraš?,Koliko let poklicno programiraš?,Identificiram se kot,Starost,Prebivam v...
10/16/2023 11:43:58,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,35000€ - 39999€,Slovenija,Slovenija,manj kot 1 leto,"da, a manj kot polni delovni čas",ne,ne,,,,,,"Java, C#, Scala",spletni razvijalec/ka (back-end),več kot 10 let,6 - 7 let,moški,31-40,jugovzhodna regija
10/16/2023 11:44:33,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,Slovenija,Slovenija,4 - 5 let,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), Java",spletni razvijalec/ka (front-end),4 - 5 let,4 - 5 let,moški,26-30,osrednjeslovenska regija
10/16/2023 11:44:59,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,35000€ - 39999€,Slovenija,Slovenija,manj kot 1 leto,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, Python, TypeScript",spletni razvijalec/ka (full-stack),6 - 7 let,1 - 2 leti,moški,19-25,podravska regija
10/16/2023 11:45:36,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,70000€ - 74999€,"tujina, Evropska unija","tujina, ZDA",5 - 6 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Java, C#, Kotlin, Bash, Perl",vodja ekipe (team lead),9 - 10 let,5 - 6 let,moški,31-40,zasavska regija
10/16/2023 11:46:46,delo opravljam prek s. p.,,,,,,,,,,,,,1,6000€ - 6499€,100%,"tujina, Evropska unija","tujina, drugo","JavaScript, HTML/CSS (sass/scss/...), SQL, Python",produktni/projektni vodja (PM),več kot 10 let,več kot 10 let,ženska,41-50,osrednjeslovenska regija
10/16/2023 11:46:47,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,35000€ - 39999€,"tujina, drugo",Slovenija,1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,JavaScript,drugo,manj kot 1 leto,manj kot 1 leto,moški,31-40,gorenjska regija
10/16/2023 11:47:28,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,50000€ - 54999€,"tujina, Evropska unija",Slovenija,8 - 9 let,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"Python, C++, C, LabVIEW",svetovalec/ka za specifično tehnologijo,9 - 10 let,8 - 9 let,moški,31-40,osrednjeslovenska regija
10/16/2023 11:47:55,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,"tujina, Evropska unija","tujina, ZDA",2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Python",razvijalec/ka s statističnim/matematičnim ozadjem,manj kot 1 leto,manj kot 1 leto,moški,41-50,osrednjeslovenska regija
10/16/2023 11:48:40,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,35000€ - 39999€,"tujina, Evropska unija",Slovenija,1 - 2 leti,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, Python, C++",razvijalec/ka namiznih aplikacij,9 - 10 let,3 - 4 leta,moški,26-30,goriška regija
10/16/2023 11:48:56,dijak/študent (delo opravljam prek študentske napotnice),"7,0€ - 7,99€",manj kot 20 ur,,,,,,,,,,,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, Python, TypeScript",spletni razvijalec/ka (full-stack),5 - 6 let,manj kot 1 leto,moški,19-25,pomurska regija
10/16/2023 11:49:10,delo opravljam prek s. p.,,,,,,,,,,,,,1,7000€ - 7499€,100%,"tujina, Evropska unija","tujina, Evropska unija","JavaScript, HTML/CSS (sass/scss/...), TypeScript",spletni razvijalec/ka (front-end),več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
10/16/2023 11:49:31,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),7000€ - 7499€,več kot 100000€,"tujina, Evropska unija","tujina, Evropska unija",3 - 4 leta,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, TypeScript",vodja razvoja (CTO),več kot 10 let,več kot 10 let,moški,31-40,tujina
10/16/2023 11:50:13,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,25000€ - 29999€,Slovenija,Slovenija,1 - 2 leti,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, TypeScript",spletni razvijalec/ka (full-stack),3 - 4 leta,1 - 2 leti,moški,19-25,osrednjeslovenska regija
10/16/2023 11:50:14,dijak/študent (delo opravljam prek študentske napotnice),"11,00€ - 11,99€",40 ur (polni delovnik),,,,,,,,,,,,,,,,"SQL, Java, C#, Python",spletni razvijalec/ka (back-end),7 - 8 let,3 - 4 leta,moški,19-25,zasavska regija
10/16/2023 11:50:25,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,40000€ - 44999€,"tujina, Evropska unija",Slovenija,1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,Java,spletni razvijalec/ka (back-end),4 - 5 let,4 - 5 let,moški,26-30,podravska regija
10/16/2023 11:50:28,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,Slovenija,Slovenija,manj kot 1 leto,"da, za polni delovni čas",ne,ne,,,,,,"SQL, C#",spletni razvijalec/ka (full-stack),9 - 10 let,8 - 9 let,moški,31-40,koroška regija
10/16/2023 11:51:26,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,55000€ - 59999€,Slovenija,Slovenija,4 - 5 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP",sistemski integrator/ka,9 - 10 let,4 - 5 let,moški,19-25,zasavska regija
10/16/2023 11:51:37,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,30000€ - 34999€,Slovenija,Slovenija,več kot 10 let,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"Bash, ",sistemski administrator/ka,več kot 10 let,manj kot 1 leto,moški,41-50,osrednjeslovenska regija
10/16/2023 11:51:37,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),5000€ - 5499€,65000€ - 69999€,Slovenija,Slovenija,5 - 6 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, TypeScript, Bash",spletni razvijalec/ka (back-end),več kot 10 let,8 - 9 let,moški,26-30,jugovzhodna regija
10/16/2023 11:51:42,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,40000€ - 44999€,"tujina, ZDA",Slovenija,9 - 10 let,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"JavaScript, SQL, Python, C, Bash",spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
10/16/2023 11:52:03,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,Slovenija,Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, C++",spletni razvijalec/ka (back-end),3 - 4 leta,2 - 3 leta,moški,19-25,osrednjeslovenska regija
10/16/2023 11:52:14,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),8500€ - 8999€,več kot 100000€,"tujina, Evropska unija","tujina, Evropska unija",1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,"C++, C, asm",razvijalec/ka namiznih aplikacij,več kot 10 let,več kot 10 let,moški,26-30,tujina
10/16/2023 11:52:36,redno zaposlen/a,,,pogodba za določen čas,40 ur na teden (polni delovni čas),"1203,36€ (minimalna BRUTO plača)",pod 15000€,"tujina, drugo",Slovenija,manj kot 1 leto,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#",spletni razvijalec/ka (back-end),8 - 9 let,1 - 2 leti,moški,19-25,osrednjeslovenska regija
10/16/2023 11:52:37,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,5500€ - 5999€,85 - 99%,"tujina, ZDA","tujina, ZDA","Java, C#",spletni razvijalec/ka (back-end),6 - 7 let,5 - 6 let,moški,26-30,podravska regija
10/16/2023 11:52:48,delo opravljam prek s. p.,,,,,,,,,,,,,1,več kot 10000€,100%,"tujina, ZDA","tujina, ZDA","JavaScript, HTML/CSS (sass/scss/...), SQL, Java, Python, PHP, C++, TypeScript",vodja razvoja (CTO),več kot 10 let,več kot 10 let,moški,41-50,koroška regija
10/16/2023 11:53:30,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),1500€ - 1999€,20000€ - 24999€,Slovenija,Slovenija,manj kot 1 leto,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,Bash,sistemski administrator/ka,manj kot 1 leto,manj kot 1 leto,moški,26-30,osrednjeslovenska regija
10/16/2023 11:54:11,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),5500€ - 5999€,65000€ - 69999€,"tujina, Evropska unija","tujina, Evropska unija",2 - 3 leta,"da, za polni delovni čas",ne,ne,,,,,,C#,vodja ekipe (team lead),več kot 10 let,več kot 10 let,moški,41-50,osrednjeslovenska regija
10/16/2023 11:54:52,delo opravljam prek s. p.,,,,,,,,,,,,,1,7500€ - 7999€,85 - 99%,"tujina, drugo","tujina, drugo","Python, PHP, C++, Rust",vodja ekipe (team lead),več kot 10 let,več kot 10 let,moški,41-50,podravska regija
10/16/2023 11:56:13,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,35000€ - 39999€,Slovenija,Slovenija,1 - 2 leti,"da, a manj kot polni delovni čas",ne,ne,,,,,,"Python, C, Matlab",razvijalec/ka embedded sistemov/aplikacij,5 - 6 let,3 - 4 leta,moški,26-30,osrednjeslovenska regija
10/16/2023 11:56:19,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,30000€ - 34999€,"tujina, Evropska unija",Slovenija,3 - 4 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,Flutter/Dart,razvijalec/ka mobilnih aplikacij (iOS),8 - 9 let,4 - 5 let,moški,26-30,osrednjeslovenska regija
10/16/2023 11:56:23,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,Slovenija,Slovenija,4 - 5 let,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, TypeScript",spletni razvijalec/ka (front-end),4 - 5 let,4 - 5 let,moški,26-30,savinjska regija
10/16/2023 11:56:48,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,40000€ - 44999€,Slovenija,Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, PHP, C++, C, TypeScript",spletni razvijalec/ka (full-stack),7 - 8 let,5 - 6 let,moški,26-30,gorenjska regija
10/16/2023 11:56:53,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,35000€ - 39999€,Slovenija,Slovenija,2 - 3 leta,"da, za polni delovni čas",da,ne,,,,,,Go,spletni razvijalec/ka (back-end),5 - 6 let,2 - 3 leta,moški,19-25,podravska regija
10/16/2023 11:56:59,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,pod 15000€,Slovenija,Slovenija,5 - 6 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Java, C#, Python, C++, C",razvijalec/ka embedded sistemov/aplikacij,9 - 10 let,5 - 6 let,moški,26-30,goriška regija
10/16/2023 11:57:01,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,45000€ - 49999€,"tujina, Evropska unija","tujina, Evropska unija",manj kot 1 leto,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"C#, Python, Bicep, Terraform",DevOps,4 - 5 let,4 - 5 let,moški,31-40,gorenjska regija
10/16/2023 11:57:09,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,5500€ - 5999€,85 - 99%,"tujina, ZDA","tujina, ZDA","JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP, Ruby, Bash",spletni razvijalec/ka (full-stack),9 - 10 let,7 - 8 let,moški,31-40,pomurska regija
10/16/2023 11:57:20,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,35000€ - 39999€,Slovenija,Slovenija,5 - 6 let,"da, a manj kot polni delovni čas",ne,da,2 - 4,500€ - 999€,100%,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Python, PHP",vodja ekipe (team lead),7 - 8 let,6 - 7 let,moški,26-30,primorsko-notranjska regija
10/16/2023 11:57:30,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,55000€ - 59999€,"tujina, drugo",Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Python, C++, C, TypeScript, Bash",razvijalec/ka s statističnim/matematičnim ozadjem,več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
10/16/2023 11:57:31,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,25000€ - 29999€,"tujina, drugo","tujina, Evropska unija",4 - 5 let,"ne, čeprav delodajalec omogoča delo na daljavo",da,ne,,,,,,"Java, C++, C, Qt",razvijalec/ka mobilnih aplikacij (Android),več kot 10 let,več kot 10 let,moški,41-50,osrednjeslovenska regija
10/16/2023 11:58:08,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,Slovenija,Slovenija,več kot 10 let,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"SQL, R",razvijalec/ka s statističnim/matematičnim ozadjem,5 - 6 let,3 - 4 leta,moški,41-50,osrednjeslovenska regija
10/16/2023 11:58:14,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,8500€ - 8999€,85 - 99%,"tujina, drugo",Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP, TypeScript, Bash",spletni razvijalec/ka (back-end),več kot 10 let,7 - 8 let,moški,31-40,pomurska regija
10/16/2023 11:58:15,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,50000€ - 54999€,Slovenija,Slovenija,3 - 4 leta,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"SQL, Java, C#, Python, Bash",vodja ekipe (team lead),več kot 10 let,5 - 6 let,moški,31-40,jugovzhodna regija
10/16/2023 11:58:30,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,več kot 10000€,85 - 99%,"tujina, Evropska unija","tujina, ZDA","JavaScript, HTML/CSS (sass/scss/...), SQL, C, TypeScript",spletni razvijalec/ka (full-stack),več kot 10 let,več kot 10 let,moški,31-40,jugovzhodna regija
10/16/2023 11:58:35,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),5500€ - 5999€,pod 15000€,Slovenija,Slovenija,manj kot 1 leto,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#",produktni/projektni vodja (PM),več kot 10 let,več kot 10 let,moški,31-40,savinjska regija
