Timestamp,Tvoj trenutni status,"Povprečna NETO urna postavka za delo, ki si ga opravil/a preko študentske napotnice.",V zadnjih treh mesecih sem povprečno delal/a na teden,Vrsta zaposlitve,Obseg dela,Povprečna mesečna BRUTO plača v zadnjih treh mesecih.,"Povprečni celoletni BRUTO dodatki (bonusi, delnice, RSU, drugi dodatki...)",Primarno tržišče delodajalca,Sedež delodajalca je,Koliko let si že zaposlen/a pri trenutnem delodajalcu?,Opravljaš delo na daljavo (remote work)?,Ali trenutno aktivno iščeš novo zaposlitev?,"Imaš odprt še s.p.? (""popoldanski s.p."")",Število različnih naročnikov v zadnjih 6 mesecih,Povprečen mesečni BRUTO prihodek v zadnjih 6ih mesecih,Koliko odstotkov LETNEGA prihodka ti predstavlja največji naročnik?,Primarno tržišče največjega naročnika je ,Sedež največjega naročnika je ,Znam naslednje programske jezike,Največ dela opravim kot...,Koliko let že programiraš?,Koliko let poklicno programiraš?,Identificiram se kot,Starost,Prebivam v...
10/2/2024 9:53:18,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,pod 5000€,"tujina, Evropska unija",Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, TypeScript",spletni razvijalec/ka (full-stack),3 - 4 leta,2 - 3 leta,moški,26-30,gorenjska regija
10/2/2024 9:57:55,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),5500€ - 5999€,pod 5000€,"tujina, ZDA","tujina, ZDA",4 - 5 let,"da, a manj kot polni delovni čas",da,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), Java, terraform",DevOps,več kot 10 let,9 - 10 let,moški,26-30,zasavska regija
10/2/2024 10:01:03,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,6000€ - 6499€,85 - 99%,"tujina, Evropska unija","tujina, Evropska unija","JavaScript, HTML/CSS (sass/scss/...), TypeScript",spletni razvijalec/ka (front-end),več kot 10 let,8 - 9 let,moški,31-40,podravska regija
10/2/2024 10:01:40,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,pod 5000€,Slovenija,Slovenija,3 - 4 leta,"da, a manj kot polni delovni čas",ne,da,2 - 4,500€ - 999€,70 - 84,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Swift, Kotlin",vodja ekipe (team lead),več kot 10 let,9 - 10 let,moški,31-40,osrednjeslovenska regija
10/2/2024 10:02:20,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,pod 5000€,"tujina, drugo","tujina, Evropska unija",1 - 2 leti,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), Python",produktni/projektni vodja (PM),,,moški,26-30,savinjska regija
10/2/2024 10:02:26,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,pod 5000€,Slovenija,Slovenija,2 - 3 leta,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), PHP",,3 - 4 leta,3 - 4 leta,moški,19-25,osrednjeslovenska regija
10/2/2024 10:04:12,delo opravljam prek s. p.,,,,,,,,,,,,,1,6000€ - 6499€,100%,"tujina, ZDA","tujina, ZDA","JavaScript, HTML/CSS (sass/scss/...), SQL, TypeScript, Rust",spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,41-50,osrednjeslovenska regija
10/2/2024 10:05:03,delo opravljam prek s. p.,,,,,,,,,,,,,1,6000€ - 6499€,85 - 99%,"tujina, drugo","tujina, drugo","JavaScript, HTML/CSS (sass/scss/...), SQL, Python, TypeScript",spletni razvijalec/ka (back-end),7 - 8 let,4 - 5 let,ženska,26-30,osrednjeslovenska regija
10/2/2024 10:05:07,delo opravljam prek s. p.,,,,,,,,,,,,,1,6000€ - 6499€,100%,"tujina, Evropska unija","tujina, Evropska unija","SQL, Python, Go, Bash",DevOps,6 - 7 let,4 - 5 let,moški,26-30,osrednjeslovenska regija
10/2/2024 10:06:40,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,pod 5000€,"tujina, drugo","tujina, drugo",3 - 4 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Python",specialist/ka strojnega učenja,6 - 7 let,3 - 4 leta,moški,26-30,osrednjeslovenska regija
