Timestamp,Tvoj trenutni status,"Povprečna NETO urna postavka za delo, ki si ga opravil/a preko študentske napotnice.",V zadnjih treh mesecih sem povprečno delal/a na teden,Vrsta zaposlitve,Obseg dela,Povprečna mesečna BRUTO plača v zadnjih treh mesecih.,"Povprečni celoletni BRUTO dodatki (bonusi, delnice, RSU, drugi dodatki...)",Primarno tržišče delodajalca,Sedež delodajalca je,Koliko let si že zaposlen/a pri trenutnem delodajalcu?,Opravljaš delo na daljavo (remote work)?,Ali trenutno aktivno iščeš novo zaposlitev?,"Imaš odprt še s.p.? (""popoldanski s.p."")",Število različnih naročnikov v zadnjih 6 mesecih,Povprečen mesečni BRUTO prihodek v zadnjih 6ih mesecih,Koliko odstotkov LETNEGA prihodka ti predstavlja največji naročnik?,Primarno tržišče največjega naročnika je ,Sedež največjega naročnika je ,Znam naslednje programske jezike,Največ dela opravim kot...,Koliko let že programiraš?,Koliko let poklicno programiraš?,Identificiram se kot,Starost,Prebivam v...
10/1/2024 9:09:29,dijak/študent (delo opravljam prek študentske napotnice),"10,00€ - 10,99€",med 20 - 40 ur,,,,,,,,,,,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, TypeScript, Go",spletni razvijalec/ka (front-end),4 - 5 let,2 - 3 leta,moški,19-25,podravska regija
10/1/2024 9:09:56,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,65000€ - 69999€,"tujina, ZDA",Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,da,1,2000€ - 2499€,pod 25 %,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP, TypeScript",spletni razvijalec/ka (full-stack),več kot 10 let,7 - 8 let,moški,31-40,osrednjeslovenska regija
10/1/2024 9:10:39,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,4500€ - 4999€,55 - 70,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, PHP, TypeScript, Bash",vodja razvoja (CTO),več kot 10 let,8 - 9 let,moški,31-40,podravska regija
10/1/2024 9:10:54,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,4000€ - 4499€,100%,"tujina, Evropska unija",Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, PHP, TypeScript",spletni razvijalec/ka (full-stack),več kot 10 let,7 - 8 let,moški,31-40,goriška regija
10/1/2024 9:11:33,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,5500€ - 5999€,85 - 99%,"tujina, Evropska unija","tujina, Evropska unija","JavaScript, HTML/CSS (sass/scss/...), TypeScript",spletni razvijalec/ka (full-stack),8 - 9 let,6 - 7 let,moški,31-40,goriška regija
10/1/2024 9:12:25,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,5000€ - 9999€,"tujina, ZDA","tujina, ZDA",1 - 2 leti,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, C#, Python, Go",DevOps,4 - 5 let,3 - 4 leta,moški,26-30,podravska regija
10/1/2024 9:14:17,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,"tujina, Evropska unija","tujina, Evropska unija",3 - 4 leta,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, TypeScript",spletni razvijalec/ka (full-stack),8 - 9 let,7 - 8 let,moški,31-40,obalno-kraška regija
10/1/2024 9:14:18,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,40000€ - 44999€,"tujina, ZDA",Slovenija,2 - 3 leta,"da, za polni delovni čas",ne,ne,,,,,,"Python, Ruby, Go, Bash",sistemski administrator/ka,7 - 8 let,5 - 6 let,moški,26-30,goriška regija
10/1/2024 9:14:19,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,pod 5000€,Slovenija,Slovenija,1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,"HTML/CSS (sass/scss/...), SQL, C#",spletni razvijalec/ka (full-stack),več kot 10 let,7 - 8 let,moški,31-40,koroška regija
10/1/2024 9:14:33,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,,"tujina, Evropska unija",Slovenija,3 - 4 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP",razvijalec/ka iger (gamedev),več kot 10 let,6 - 7 let,moški,26-30,podravska regija
10/1/2024 9:14:55,redno zaposlen/a,,,pogodba za nedoločen čas,,3500€ - 3999€,45000€ - 49999€,Slovenija,Slovenija,4 - 5 let,"da, a manj kot polni delovni čas",da,ne,,,,,,C#,vodja ekipe (team lead),več kot 10 let,6 - 7 let,moški,31-40,jugovzhodna regija
10/1/2024 9:14:57,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,10000€ - 14999€,"tujina, Evropska unija",Slovenija,5 - 6 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"Java, Kotlin",razvijalec/ka mobilnih aplikacij (Android),9 - 10 let,6 - 7 let,moški,26-30,koroška regija
10/1/2024 9:16:01,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,30000€ - 34999€,Slovenija,Slovenija,4 - 5 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, Java, C",spletni razvijalec/ka (back-end),5 - 6 let,4 - 5 let,moški,26-30,osrednjeslovenska regija
10/1/2024 9:16:02,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,35000€ - 39999€,Slovenija,Slovenija,več kot 10 let,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, SQL, C#, C++, TypeScript, Kotlin",razvijalec/ka namiznih aplikacij,več kot 10 let,več kot 10 let,moški,41-50,gorenjska regija
10/1/2024 9:16:12,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,pod 5000€,"tujina, drugo",Slovenija,8 - 9 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, PHP, TypeScript, Bash",spletni razvijalec/ka (full-stack),več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
10/1/2024 9:16:29,delo opravljam prek s. p.,,,,,,,,,,,,,1,3500€ - 3999€,100%,Slovenija,"tujina, ZDA","JavaScript, TypeScript",spletni razvijalec/ka (back-end),4 - 5 let,3 - 4 leta,moški,26-30,osrednjeslovenska regija
10/1/2024 9:16:57,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),1500€ - 1999€,pod 5000€,"tujina, Evropska unija",Slovenija,4 - 5 let,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP",spletni razvijalec/ka (back-end),6 - 7 let,5 - 6 let,moški,19-25,osrednjeslovenska regija
10/1/2024 9:17:05,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,20000€ - 24999€,Slovenija,Slovenija,1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Python, C++, TypeScript",spletni razvijalec/ka (front-end),7 - 8 let,2 - 3 leta,moški,19-25,pomurska regija
10/1/2024 9:17:06,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,pod 5000€,"tujina, Evropska unija",Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, Python, TypeScript",spletni razvijalec/ka (back-end),4 - 5 let,4 - 5 let,moški,26-30,osrednjeslovenska regija
10/1/2024 9:17:47,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,pod 5000€,"tujina, drugo",Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, PHP, C++, C, TypeScript",spletni razvijalec/ka (full-stack),več kot 10 let,5 - 6 let,moški,31-40,goriška regija
10/1/2024 9:17:56,delo opravljam prek s. p.,,,,,,,,,,,,,1,4000€ - 4499€,100%,Slovenija,"tujina, ZDA","JavaScript, HTML/CSS (sass/scss/...), Java",spletni razvijalec/ka (back-end),4 - 5 let,1 - 2 leti,moški,31-40,osrednjeslovenska regija
10/1/2024 9:17:57,redno zaposlen/a,,,pogodba za določen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,5000€ - 9999€,"tujina, ZDA",Slovenija,manj kot 1 leto,"da, za polni delovni čas",ne,ne,,,,,,"HTML/CSS (sass/scss/...), SQL, Python, C, Go",spletni razvijalec/ka (back-end),6 - 7 let,4 - 5 let,ženska,26-30,jugovzhodna regija
10/1/2024 9:18:02,dijak/študent (delo opravljam prek študentske napotnice),"10,00€ - 10,99€",med 20 - 40 ur,,,,,,,,,,,,,,,,"Python, Go",DevOps,4 - 5 let,2 - 3 leta,moški,19-25,primorsko-notranjska regija
10/1/2024 9:18:09,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,pod 5000€,Slovenija,Slovenija,5 - 6 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, SQL, Java, Python",spletni razvijalec/ka (full-stack),8 - 9 let,5 - 6 let,moški,26-30,savinjska regija
10/1/2024 9:18:13,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),9500€ - 9999€,95000€ - 99999€,"tujina, Evropska unija","tujina, Evropska unija",2 - 3 leta,"da, za polni delovni čas",ne,ne,,,,,,"SQL, PHP",vodja ekipe (team lead),več kot 10 let,več kot 10 let,moški,41-50,tujina
10/1/2024 9:18:13,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,pod 5000€,Slovenija,Slovenija,1 - 2 leti,"ne, čeprav delodajalec omogoča delo na daljavo",da,ne,,,,,,"SQL, Java, Python, TypeScript, Swift, Objective-C, Bash",spletni razvijalec/ka (back-end),več kot 10 let,5 - 6 let,moški,26-30,osrednjeslovenska regija
10/1/2024 9:18:29,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,pod 5000€,"tujina, Evropska unija",Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, C++, C",razvijalec/ka embedded sistemov/aplikacij,8 - 9 let,2 - 3 leta,ženska,19-25,podravska regija
10/1/2024 9:18:52,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,40000€ - 44999€,Slovenija,Slovenija,več kot 10 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, TypeScript",spletni razvijalec/ka (full-stack),več kot 10 let,več kot 10 let,moški,41-50,osrednjeslovenska regija
10/1/2024 9:19:01,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),5000€ - 5499€,45000€ - 49999€,Slovenija,Slovenija,več kot 10 let,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Python, PHP, Pascal (Delphi)",razvijalec/ka namiznih aplikacij,več kot 10 let,več kot 10 let,moški,31-40,pomurska regija
10/1/2024 9:19:05,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),5000€ - 5499€,5000€ - 9999€,"tujina, Evropska unija","tujina, Evropska unija",5 - 6 let,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP, C, TypeScript, Bash",spletni razvijalec/ka (front-end),več kot 10 let,več kot 10 let,moški,31-40,gorenjska regija
10/1/2024 9:19:15,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,45000€ - 49999€,"tujina, Evropska unija",Slovenija,3 - 4 leta,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"C#, Python, C++, C",produktni/projektni vodja (PM),7 - 8 let,3 - 4 leta,moški,31-40,osrednjeslovenska regija
10/1/2024 9:19:36,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,pod 5000€,Slovenija,Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#",spletni razvijalec/ka (full-stack),več kot 10 let,več kot 10 let,moški,31-40,koroška regija
10/1/2024 9:19:51,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,več kot 10000€,40 - 55,"tujina, ZDA","tujina, ZDA","JavaScript, HTML/CSS (sass/scss/...), SQL, PHP, TypeScript",spletni razvijalec/ka (back-end),več kot 10 let,7 - 8 let,moški,26-30,podravska regija
10/1/2024 9:19:59,delo opravljam prek s. p.,,,,,,,,,,,,,1,4500€ - 4999€,100%,"tujina, Evropska unija","tujina, Evropska unija",Python,DevOps,7 - 8 let,5 - 6 let,moški,19-25,osrednjeslovenska regija
10/1/2024 9:20:00,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,pod 5000€,"tujina, Evropska unija","tujina, Evropska unija",7 - 8 let,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), TypeScript",spletni razvijalec/ka (front-end),več kot 10 let,8 - 9 let,ženska,31-40,gorenjska regija
10/1/2024 9:20:13,delo opravljam prek s. p.,,,,,,,,,,,,,1,več kot 10000€,100%,"tujina, ZDA","tujina, ZDA","JavaScript, HTML/CSS (sass/scss/...), SQL, Python, TypeScript, Ruby, Go, Bash, Rust",spletni razvijalec/ka (full-stack),več kot 10 let,več kot 10 let,moški,31-40,jugovzhodna regija
10/1/2024 9:20:45,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,pod 5000€,"tujina, drugo","tujina, drugo",manj kot 1 leto,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Python, C, TypeScript",drugo,8 - 9 let,5 - 6 let,moški,26-30,osrednjeslovenska regija
10/1/2024 9:21:03,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,,"tujina, Evropska unija",Slovenija,7 - 8 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, TypeScript",DevOps,9 - 10 let,6 - 7 let,ženska,31-40,podravska regija
10/1/2024 9:21:04,redno zaposlen/a,,,pogodba za nedoločen čas,drugo,4500€ - 4999€,55000€ - 59999€,"tujina, drugo","tujina, drugo",2 - 3 leta,"da, za polni delovni čas",ne,ne,,,,,,C++,razvijalec/ka s statističnim/matematičnim ozadjem,2 - 3 leta,2 - 3 leta,moški,31-40,osrednjeslovenska regija
10/1/2024 9:21:17,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,pod 5000€,"tujina, Evropska unija",Slovenija,manj kot 1 leto,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Python, C++",produktni/projektni vodja (PM),6 - 7 let,manj kot 1 leto,moški,26-30,pomurska regija
10/1/2024 9:21:54,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,pod 5000€,Slovenija,Slovenija,1 - 2 leti,"da, za polni delovni čas",da,ne,,,,,,"SQL, C#, Python, Delphi",razvijalec/ka namiznih aplikacij,več kot 10 let,2 - 3 leta,moški,26-30,primorsko-notranjska regija
10/1/2024 9:22:12,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,5000€ - 5499€,40 - 55,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP",spletni razvijalec/ka (full-stack),več kot 10 let,9 - 10 let,moški,31-40,podravska regija
10/1/2024 9:22:16,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,5000€ - 5499€,85 - 99%,"tujina, drugo","tujina, drugo","JavaScript, HTML/CSS (sass/scss/...), SQL, C#, TypeScript",spletni razvijalec/ka (full-stack),7 - 8 let,6 - 7 let,moški,26-30,pomurska regija
10/1/2024 9:22:19,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,pod 5000€,Slovenija,Slovenija,manj kot 1 leto,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,,sistemski administrator/ka,,,moški,31-40,podravska regija
10/1/2024 9:22:40,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,pod 5000€,Slovenija,"tujina, Evropska unija",7 - 8 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Java, C#",razvijalec/ka embedded sistemov/aplikacij,več kot 10 let,8 - 9 let,moški,31-40,osrednjeslovenska regija
10/1/2024 9:23:24,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,pod 5000€,Slovenija,Slovenija,5 - 6 let,"da, a manj kot polni delovni čas",da,ne,,,,,,"SQL, C#, Python",razvijalec/ka namiznih aplikacij,več kot 10 let,9 - 10 let,moški,31-40,primorsko-notranjska regija
10/1/2024 9:23:45,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),5500€ - 5999€,5000€ - 9999€,"tujina, Evropska unija","tujina, Evropska unija",2 - 3 leta,"da, za polni delovni čas",ne,da,2 - 4,2500€ - 2999€,55 - 70,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, PHP, C++, TypeScript",spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,26-30,osrednjeslovenska regija
10/1/2024 9:23:46,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,pod 5000€,Slovenija,Slovenija,5 - 6 let,"da, za polni delovni čas",da,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, PHP",spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,več kot 50 let,osrednjeslovenska regija
10/1/2024 9:23:49,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,45000€ - 49999€,Slovenija,Slovenija,9 - 10 let,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Python, PHP, C++",razvijalec/ka namiznih aplikacij,več kot 10 let,9 - 10 let,moški,31-40,savinjska regija
10/1/2024 9:23:59,delo opravljam prek s. p.,,,,,,,,,,,,,1,9500€ - 9999€,85 - 99%,"tujina, drugo","tujina, drugo","JavaScript, HTML/CSS (sass/scss/...), SQL, Ruby",vodja ekipe (team lead),več kot 10 let,8 - 9 let,moški,31-40,goriška regija
10/1/2024 9:24:01,delo opravljam prek s. p.,,,,,,,,,,,,,1,7000€ - 7499€,100%,"tujina, ZDA","tujina, ZDA","SQL, C#, Python, PHP, Go",spletni razvijalec/ka (back-end),več kot 10 let,7 - 8 let,moški,26-30,osrednjeslovenska regija
10/1/2024 9:24:16,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2000€ - 2499€,5000€ - 9999€,"tujina, Evropska unija",Slovenija,5 - 6 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, TypeScript",spletni razvijalec/ka (full-stack),več kot 10 let,5 - 6 let,moški,31-40,goriška regija
10/1/2024 9:24:28,delo opravljam prek s. p.,,,,,,,,,,,,,1,1000€ - 1499€,100%,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, PHP",spletni razvijalec/ka (full-stack),4 - 5 let,3 - 4 leta,moški,19-25,tujina
10/1/2024 9:24:36,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,7000€ - 7499€,55 - 70,"tujina, ZDA","tujina, ZDA","C#, TypeScript",spletni razvijalec/ka (back-end),8 - 9 let,7 - 8 let,moški,26-30,podravska regija
10/1/2024 9:24:40,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,pod 5000€,"tujina, Evropska unija",Slovenija,8 - 9 let,"ne, delodajalec ne omogoča dela na daljavo",da,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), PHP, TypeScript",sistemski administrator/ka,2 - 3 leta,1 - 2 leti,moški,31-40,posavska regija
10/1/2024 9:24:49,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,pod 5000€,Slovenija,Slovenija,4 - 5 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,Python,specialist/ka strojnega učenja,4 - 5 let,1 - 2 leti,moški,26-30,osrednjeslovenska regija
10/1/2024 9:24:49,delo opravljam prek s. p.,,,,,,,,,,,,,1,4000€ - 4499€,85 - 99%,"tujina, Evropska unija","tujina, Evropska unija","Java, Python",spletni razvijalec/ka (back-end),5 - 6 let,2 - 3 leta,moški,19-25,osrednjeslovenska regija
10/1/2024 9:24:54,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,6500€ - 6999€,40 - 55,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#",spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,41-50,podravska regija
10/1/2024 9:24:59,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),"1253,91€ - 1499€",pod 5000€,Slovenija,Slovenija,manj kot 1 leto,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, PHP, C++, C, Delphi/Pascal",spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,41-50,osrednjeslovenska regija
10/1/2024 9:25:02,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,7500€ - 7999€,25 - 40,"tujina, Evropska unija","tujina, Evropska unija","JavaScript, SQL, C++, C, Bash, QML",drugo,več kot 10 let,več kot 10 let,moški,več kot 50 let,goriška regija
10/1/2024 9:25:36,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,pod 5000€,"tujina, drugo",Slovenija,več kot 10 let,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"JavaScript, C#, TypeScript, Dart",razvijalec/ka namiznih aplikacij,več kot 10 let,več kot 10 let,moški,41-50,obalno-kraška regija
10/1/2024 9:25:40,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,pod 5000€,"tujina, Evropska unija","tujina, Evropska unija",manj kot 1 leto,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, C, TypeScript, Bash",spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,31-40,gorenjska regija
10/1/2024 9:25:51,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,pod 5000€,Slovenija,Slovenija,več kot 10 let,"da, za polni delovni čas",ne,da,2 - 4,1500€ - 1999€,55 - 70,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP",spletni razvijalec/ka (full-stack),več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
10/1/2024 9:26:04,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,35000€ - 39999€,Slovenija,Slovenija,4 - 5 let,"da, a manj kot polni delovni čas",da,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Python, PHP",spletni razvijalec/ka (full-stack),6 - 7 let,5 - 6 let,moški,26-30,zasavska regija
10/1/2024 9:26:23,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,pod 5000€,Slovenija,Slovenija,1 - 2 leti,"da, za polni delovni čas",ne,ne,,,,,,,sistemski administrator/ka,,,moški,31-40,osrednjeslovenska regija
10/1/2024 9:26:47,dijak/študent (delo opravljam prek študentske napotnice),"10,00€ - 10,99€",40 ur (polni delovnik),,,,,,,,,,,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, Python, TypeScript, Rust",drugo,4 - 5 let,2 - 3 leta,moški,19-25,zasavska regija
10/1/2024 9:27:06,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,10000€ - 14999€,"tujina, ZDA",Slovenija,9 - 10 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,,vodja ekipe (team lead),,,ženska,31-40,gorenjska regija
10/1/2024 9:27:07,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,7000€ - 7499€,55 - 70,"tujina, Evropska unija","tujina, Evropska unija","JavaScript, HTML/CSS (sass/scss/...), SQL, Java, PHP, TypeScript",spletni razvijalec/ka (front-end),več kot 10 let,več kot 10 let,moški,31-40,podravska regija
10/1/2024 9:27:14,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,pod 5000€,"tujina, Evropska unija",Slovenija,1 - 2 leti,"da, a manj kot polni delovni čas",ne,ne,,,,,,"Java, Python",drugo,4 - 5 let,3 - 4 leta,moški,26-30,gorenjska regija
10/1/2024 9:27:28,delo opravljam prek s. p.,,,,,,,,,,,,,1,5500€ - 5999€,85 - 99%,"tujina, Evropska unija","tujina, Evropska unija","JavaScript, HTML/CSS (sass/scss/...), TypeScript",spletni razvijalec/ka (front-end),7 - 8 let,7 - 8 let,moški,31-40,savinjska regija
10/1/2024 9:27:42,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,pod 5000€,"tujina, Evropska unija",Slovenija,manj kot 1 leto,"da, za polni delovni čas",ne,da,0,pod 499€,v zadnjem letu nisem imel/a nobenega naročnika,Slovenija,Slovenija,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, C++, TypeScript",spletni razvijalec/ka (back-end),8 - 9 let,7 - 8 let,moški,26-30,podravska regija
10/1/2024 9:27:48,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,60000€ - 64999€,Slovenija,Slovenija,več kot 10 let,"da, za polni delovni čas",ne,da,1,3000€ - 3499€,55 - 70,"tujina, ZDA","tujina, ZDA",Kotlin,razvijalec/ka mobilnih aplikacij (Android),več kot 10 let,več kot 10 let,moški,31-40,podravska regija
